Latitude,Longitude,Tags,Comment,Image
36.308052777777800,-82.36480833333330,Unsafe crossing,The crosswalk sign doesn't work.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/47.jpeg"">"
36.30705,-82.35678888888890,Other,Walk by here! Free apples.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/10.jpeg"">"
36.31099444444440,-82.35898611111110,Sidewalk problems,This sidewalk ends and turns into a parking lot.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/26.jpeg"">"
36.31133333333330,-82.35887222222220,Inaccessable,"This has a crosswalk, but is inaccessible to wheelchairs.","<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/30.jpeg"">"
36.311341666666700,-82.35878888888890,Inaccessable,"This has a crosswalk, but is inaccessible to wheelchairs.","<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/31.jpeg"">"
36.311030555555600,-82.35895555555560,Sidewalk problems,This sidewalk ends and turns into a parking lot.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/27.jpeg"">"
36.310269444444400,-82.35839722222220,Sidewalk problems,"This is a really narrow sidewalk, so this will be hard to walk on and is very close to the street","<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/20.jpeg"">"
36.312016666666700,-82.35592777777780,Sidewalk problems,There's a huge gap in the sidewalk here.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/36.jpeg"">"
36.31163055555560,-82.35582777777780,Sidewalk problems,Here's a gap in the sidewalk.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/41.jpeg"">"
36.30835,-82.36583055555560,Construction,"This is in a ""do not walk"" zone, and the wall fell down","<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/6.jpeg"">"
36.30811388888890,-82.36534166666670,Unsafe crossing,"If you stand behind this pole, it makes it super hard for drivers to see you waiting at this intersection.","<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/7.jpeg"">"
36.31018888888890,-82.35815555555560,Unsafe crossing,This street doesn't have a crosswalk.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/17.jpeg"">"
36.31227222222220,-82.35605555555560,Sidewalk problems,This sidewalk ends and turns into landscaping.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/34.jpeg"">"
36.31058611111110,-82.35862777777780,Sidewalk problems,This isn't even a proper sidewalk.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/22.jpeg"">"
36.31011944444440,-82.35831388888890,Sidewalk problems,This ramp points at a driveway on the other side of the road.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/18.jpeg"">"
36.311905555555600,-82.35585833333330,Sidewalk problems,This is a large gravel stretch before a sidewalk.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/38.jpeg"">"
36.309875,-82.35886388888890,Sidewalk problems,Anyone on a bike won't be able to fit though here.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/43.jpeg"">"
36.30999722222220,-82.35858888888890,Sidewalk problems,Another misplaced telephone pole.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/42.jpeg"">"
36.311794444444400,-82.35585000000000,Unsafe crossing,This doesn't have a crosswalk.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/39.jpeg"">"
36.31023333333330,-82.358375,Sidewalk problems,This doesn't have a ramp.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/19.jpeg"">"
36.31064166666670,-82.35866666666670,Sidewalk problems,Trip hazard,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/23.jpeg"">"
36.31213888888890,-82.35596388888890,Sidewalk problems,This sidewalk ends and turns into landscaping.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/35.jpeg"">"
36.31066388888890,-82.3567361111111,Unsafe crossing,This doesn't have a crosswalk.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/12.jpeg"">"
36.307986111111100,-82.36303055555560,Sidewalk problems,There's a huge gap in the sidewalk here.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/45.jpeg"">"
36.30976388888890,-82.35903055555560,Unsafe crossing,This doesn't have a crosswalk.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/44.jpeg"">"
36.31066111111110,-82.35674166666670,Unsafe crossing,This doesn't have a crosswalk.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/13.jpeg"">"
36.3112,-82.35906944444440,Unsafe crossing,"This has a crosswalk, but is inaccessible to wheelchairs.","<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/photos/29.jpeg"">"
36.3016,82.378242,Sidewalk problems,The sidewalk melts into grass.,"<img src=""https://raw.githubusercontent.com/apzzd/Dangerous_Places/main/otherPhotos/IMG_1179.jpeg
"">"
